MATRICULA;CODIGO_UNIDADE;CLASSE;CODIGO_UNIDADE_ENSINO_SISTEC;CODIGO_MUNICIPIO_DV;INSTITUICAO;JORNADA_TRABALHO;MUNICIPIO;NUMERO_REGISTROS;REGIAO;RSC;TITULACAO;UF;UNIDADE_LOTACAO;VINCULO_CARREIRA;VINCULO_CONTRATO;VINCULO_PROFESSOR
48467;161;D;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48493;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48503;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48508;161;B;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48511;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Especialização;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48512;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48513;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48514;161;B;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48517;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48519;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
48521;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48523;161;D;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48524;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
48525;161;D;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Especialização;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48536;161;D;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48541;161;E;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Mestrado;PA;Campus Castanhal;PCCTAE;Efetivo;Não
49084;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Mestrado;PA;Campus Castanhal;PCCTAE;Efetivo;Não
30164;113;E;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
41407;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;PCCTAE;Efetivo;Não
41408;113;E;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
41411;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
41414;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
41416;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
41426;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;PCCTAE;Efetivo;Não
41431;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
41434;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
54583;613;E;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Mestrado;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
190507;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
53286;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Especialização;PA;Campus Castanhal;PCCTAE;Efetivo;Não
53336;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
54083;161;D;2915;1502400;IFPA;DE;Castanhal;1;Região Norte;RSC II;Especialização;PA;Campus Castanhal;EBTT;Efetivo;Sim
54129;161;D;2915;1502400;IFPA;DE;Castanhal;1;Região Norte;-;Doutorado;PA;Campus Castanhal;EBTT;Efetivo;Sim
54301;161;D;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Especialização;PA;Campus Castanhal;PCCTAE;Efetivo;Não
54460;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Graduação;PA;Campus Castanhal;PCCTAE;Efetivo;Não
271897;613;C;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
272892;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
272947;613;E;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
272994;113;D;2914;1501402;IFPA;20h;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273057;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC I;Graduação;PA;Campus Belém;EBTT;Efetivo;Sim
273076;113;S;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PROF. OUTROS;Efetivo;Sim
273078;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273080;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273091;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
273098;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
273103;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
273109;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
273130;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273132;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273134;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273141;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273145;113;D;2914;1501402;IFPA;20h;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;EBTT;Efetivo;Sim
273148;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
273163;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
273164;113;D;2914;1501402;IFPA;20h;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
273167;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273170;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273172;613;C;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
273178;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
273182;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
273192;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
273196;113;E;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273215;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
273236;113;S;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PROF. OUTROS;Efetivo;Sim
273238;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Graduação;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
273239;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
273241;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273243;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273244;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
273245;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
273246;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273258;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
273274;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
273294;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273296;613;C;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
273299;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
